Migdal Epic Israel - Stage 3
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Stage 3,Time,Gap
Finished,39,32,60-1,Tzur Brant,ISR,no,,M,A Team,Men,46:09.6,4:56:51.0,4:36:38.0,3:10:23.0,13:30:01.6,+2:51:40.4
Finished,39,32,60-2,Etamar Deshe,ISR,no,,M,A Team,Men,46:09.6,4:56:51.0,4:36:38.0,3:10:23.0,13:30:01.6,+2:51:40.4
Finished,40,33,74-1,Kevin Haselsberger,AUT,no,,M,MTB-O Austria Factory Team,Men,43:38.9,4:51:41.0,4:38:03.0,3:17:45.0,13:31:07.9,+2:52:46.7
Finished,40,33,74-2,Tobias Breitschaedel,AUT,no,,M,MTB-O Austria Factory Team,Men,43:38.9,4:51:41.0,4:38:03.0,3:17:45.0,13:31:07.9,+2:52:46.7
Finished,41,34,18-1,Guy Kaftori,ISR,yes,10097483869,M,The Buttons Team matzman,Men,44:19.5,4:58:24.0,4:40:11.0,3:09:25.0,13:32:19.5,+2:53:58.3
Finished,41,34,18-2,Noam Straschnow,ISR,yes,10007578714,M,The Buttons Team matzman,Men,44:19.5,4:58:24.0,4:40:11.0,3:09:25.0,13:32:19.5,+2:53:58.3
Finished,42,6,104-1,Janika Loiv,EST,yes,10010871559,F,Estonian National MTB Team (EST),Women,48:33.5,4:41:47.0,4:57:27.0,3:09:23.0,13:37:10.5,+2:58:49.3
Finished,42,6,104-2,Greete Steinburg,EST,yes,10007431291,F,Estonian National MTB Team (EST),Women,48:33.5,4:41:47.0,4:57:27.0,3:09:23.0,13:37:10.5,+2:58:49.3
Leader,43,1,503-1,Amos Gery,ISR,no,,M,GG team,Grand Masters,48:41.4,5:02:11.0,4:42:00.0,3:12:10.0,13:45:02.4,+3:06:41.2
Leader,43,1,503-2,Zohar Galili,ISR,no,,M,GG team,Grand Masters,48:41.4,5:02:11.0,4:42:00.0,3:12:10.0,13:45:02.4,+3:06:41.2
Finished,44,35,67-1,Zahi Ben gigi,ISR,no,,M,Race3R,Men,47:31.3,5:09:44.0,4:43:18.0,3:12:11.0,13:52:44.3,+3:14:23.1
Finished,44,35,67-2,Gil Schliesser,ISR,no,,M,Race3R,Men,47:31.3,5:09:44.0,4:43:18.0,3:12:11.0,13:52:44.3,+3:14:23.1
