Migdal Epic Israel - Stage 2
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Time,Gap
Finished,124,65,57-1,Lior Battat,ISR,no,,M,B -team,Men,57:16.3,6:05:08.0,5:50:32.0,12:52:56.3,+4:49:06.1
Finished,124,65,57-2,Aviram Battat,ISR,no,,M,B -team,Men,57:16.3,6:05:08.0,5:50:32.0,12:52:56.3,+4:49:06.1
Finished,125,66,91-1,David Schwartz,ISR,no,,M,Team MS,Men,57:09.9,6:15:20.0,5:44:00.0,12:56:29.9,+4:52:39.7
Finished,125,66,91-2,Alex Reitbort,ISR,no,,M,Team MS,Men,57:09.9,6:15:20.0,5:44:00.0,12:56:29.9,+4:52:39.7
Finished,126,67,66-1,Sharon Leonzini,ISR,no,,M,^Leon,Men,56:50.6,6:17:57.0,5:42:06.0,12:56:53.6,+4:53:03.4
Finished,126,67,66-2,Leonid Chapaev,ISR,no,,M,^Leon,Men,56:50.6,6:17:57.0,5:42:06.0,12:56:53.6,+4:53:03.4
Finished,127,31,355-1,Nachshon Vagmayster,ISR,no,,M,Shlomzion,Masters,54:10.8,6:11:09.0,5:52:26.0,12:57:45.8,+4:53:55.6
Finished,127,31,355-2,Rami Asraf,ISR,no,,M,Shlomzion,Masters,54:10.8,6:11:09.0,5:52:26.0,12:57:45.8,+4:53:55.6
Finished,128,32,327-1,Avishay Bahar,ISR,no,,M,bahar team,Masters,54:15.5,6:06:20.0,5:57:24.0,12:57:59.5,+4:54:09.3
Finished,128,32,327-2,Liron Bahar,ISR,no,,M,bahar team,Masters,54:15.5,6:06:20.0,5:57:24.0,12:57:59.5,+4:54:09.3
Finished,129,33,361-1,Arie Gurion,ISR,no,,M,MARATHONYA - TBW,Masters,54:52.4,6:04:40.0,6:02:18.0,13:01:50.4,+4:58:00.2
Finished,129,33,361-2,Noam Alon,ISR,no,,M,MARATHONYA - TBW,Masters,54:52.4,6:04:40.0,6:02:18.0,13:01:50.4,+4:58:00.2
Finished,130,68,88-1,Yaron BarOn,ISR,no,,M,yaron and guy,Men,54:06.6,6:15:05.0,5:52:47.0,13:01:58.6,+4:58:08.4
Finished,130,68,88-2,Guy Lifshits,ISR,no,,M,yaron and guy,Men,54:06.6,6:15:05.0,5:52:47.0,13:01:58.6,+4:58:08.4
Finished,131,34,320-1,Gil Naor,ISR,no,,M,InterValley,Masters,51:52.2,6:28:43.0,5:42:17.0,13:02:52.2,+4:59:02.0
Finished,131,34,320-2,Boaz Haker,ISR,no,,M,InterValley,Masters,51:52.2,6:28:43.0,5:42:17.0,13:02:52.2,+4:59:02.0
Finished,132,14,538-1,Gadi Goldglas,ISR,no,,M,espresso team,Grand Masters,55:52.4,5:55:42.0,6:12:07.0,13:03:41.4,+4:59:51.2
Finished,132,14,538-2,Livneh Zarfati,ISR,no,,M,espresso team,Grand Masters,55:52.4,5:55:42.0,6:12:07.0,13:03:41.4,+4:59:51.2
Finished,133,69,39-1,Yaniv Shabat,ISR,no,,M,United Buttons,Men,51:21.8,6:20:42.0,5:52:21.0,13:04:24.8,+5:00:34.6
Finished,133,69,39-2,Yaniv Akst,ISR,no,,M,United Buttons,Men,51:21.8,6:20:42.0,5:52:21.0,13:04:24.8,+5:00:34.6
Finished,134,35,318-1,Gonen Wilf,ISR,no,,M,GWGZ,Masters,56:33.1,6:10:19.0,6:02:32.0,13:09:24.1,+5:05:33.9
Finished,134,35,318-2,Tal Gamzu,ISR,no,,M,GWGZ,Masters,56:33.1,6:10:19.0,6:02:32.0,13:09:24.1,+5:05:33.9
Finished,135,36,351-1,Guy Sasson,ISR,no,,M,Magal,Masters,55:00.1,6:23:42.0,5:52:36.0,13:11:18.1,+5:07:27.9
Finished,135,36,351-2,Dani Gati,ISR,no,,M,Magal,Masters,55:00.1,6:23:42.0,5:52:36.0,13:11:18.1,+5:07:27.9
Finished,136,37,340-1,Eyal Friedman,ISR,no,,M,Power Rangers,Masters,54:38.5,6:19:04.0,5:57:37.0,13:11:19.5,+5:07:29.3
Finished,136,37,340-2,Hadar Gat,ISR,no,,M,Power Rangers,Masters,54:38.5,6:19:04.0,5:57:37.0,13:11:19.5,+5:07:29.3
Finished,137,7,208-1,Guy Gill,ISR,no,,M,ZONE3,Mixed,1:30:03.1,6:02:53.0,5:44:59.0,13:17:55.1,+5:14:04.9
Finished,137,7,208-2,Limor Hagani,ISR,no,,F,ZONE3,Mixed,1:30:03.1,6:02:53.0,5:44:59.0,13:17:55.1,+5:14:04.9
Finished,138,70,65-1,Yony Kalush,ISR,no,,M,Team Vigo home,Men,1:39:44.2,6:05:58.0,5:32:15.0,13:17:57.2,+5:14:07.0
Finished,138,70,65-2,Yoav Garibi,ISR,no,,M,Team Vigo home,Men,1:39:44.2,6:05:58.0,5:32:15.0,13:17:57.2,+5:14:07.0
Finished,139,38,309-1,Peter Korsholm,DEN,no,,M,Club 71,Masters,52:41.7,6:10:02.0,6:15:46.0,13:18:29.7,+5:14:39.5
Finished,139,38,309-2,Nicolai Sjo,DEN,no,,M,Club 71,Masters,52:41.7,6:10:02.0,6:15:46.0,13:18:29.7,+5:14:39.5
Finished,140,39,337-1,Moshe Aharoni,ISR,no,,M,LIONS,Masters,54:02.6,6:18:53.0,6:09:35.0,13:22:30.6,+5:18:40.4
Finished,140,39,337-2,Gal Arie,ISR,no,,M,LIONS,Masters,54:02.6,6:18:53.0,6:09:35.0,13:22:30.6,+5:18:40.4
Finished,141,40,344-1,Shay Shalom,ISR,no,,M,zone3,Masters,50:58.5,6:40:56.0,5:51:46.0,13:23:40.5,+5:19:50.3
Finished,141,40,344-2,Arie Bar Or,ISR,no,,M,zone3,Masters,50:58.5,6:40:56.0,5:51:46.0,13:23:40.5,+5:19:50.3
Finished,142,41,342-1,Avi Gabay,ISR,no,,M,A&A,Masters,55:50.5,6:33:08.0,5:57:05.0,13:26:03.5,+5:22:13.3
Finished,142,41,342-2,Arik Eitan,ISR,no,,M,A&A,Masters,55:50.5,6:33:08.0,5:57:05.0,13:26:03.5,+5:22:13.3
Finished,143,42,362-1,Stephan Gous,RSA,no,,M,Anderson Transport,Masters,51:54.2,6:24:40.0,6:13:49.0,13:30:23.2,+5:26:33.0
